id	ip	whitelist_id	site_name	site_id	Username	jira_ticket
67867	10.92.90.199/32	12425104	test.appdirect.com	1849389	NULL	NULL
67868	40.78.1.3/32	12425104	test.appdirect.com	1849389	NULL	NULL
67869	202.129.242.0/23	12425104	test.appdirect.com	1849389	NULL	NULL
67870	202.92.68.98/32	12425104	test.appdirect.com	1849389	NULL	NULL
67871	151.181.227.230/32	12425104	test.appdirect.com	1849389	NULL	NULL
67872	12.125.213.148/30	12425104	test.appdirect.com	1849389	NULL	NULL
67873	66.38.3.160/27	12425104	test.appdirect.com	1849389	NULL	NULL
67874	52.63.199.99/32	12425104	test.appdirect.com	1849389	NULL	NULL
67875	54.194.140.222/32	12425104	test.appdirect.com	1849389	NULL	NULL
67876	87.204.242.35/32	12425104	test.appdirect.com	1849389	NULL	NULL
67877	52.24.42.103/32	12425104	test.appdirect.com	1849389	NULL	NULL
67878	35.205.127.169/32	12425104	test.appdirect.com	1849389	NULL	NULL
67879	67.102.159.80/29	12425104	test.appdirect.com	1849389	NULL	NULL
67880	93.152.168.36/32	12425104	test.appdirect.com	1849389	NULL	NULL
67881	84.22.6.240/28	12425104	test.appdirect.com	1849389	NULL	NULL
67882	194.46.129.108/32	12425104	test.appdirect.com	1849389	NULL	NULL
67883	35.188.111.175/32	12425104	test.appdirect.com	1849389	NULL	NULL
67884	34.213.254.17/32	12425104	test.appdirect.com	1849389	NULL	NULL
67885	212.145.243.82/31	12425104	test.appdirect.com	1849389	NULL	NULL
67886	162.223.124.0/27	12425104	test.appdirect.com	1849389	NULL	NULL
67887	54.172.209.60/32	12425104	test.appdirect.com	1849389	NULL	NULL
67888	212.80.236.176/29	12425104	test.appdirect.com	1849389	NULL	NULL
67889	4.79.42.184/29	12425104	test.appdirect.com	1849389	NULL	NULL
67890	162.248.187.0/25	12425104	test.appdirect.com	1849389	NULL	NULL
67891	72.253.252.137/32	12425104	test.appdirect.com	1849389	NULL	NULL
67892	145.253.163.114/32	12425104	test.appdirect.com	1849389	NULL	NULL
67893	200.219.183.192/26	12425104	test.appdirect.com	1849389	NULL	NULL
67894	205.251.250.0/23	12425104	test.appdirect.com	1849389	NULL	NULL
67895	104.199.3.149/32	12425104	test.appdirect.com	1849389	NULL	NULL
67896	138.221.250.17/32	12425104	test.appdirect.com	1849389	NULL	NULL
67897	117.186.237.198/32	12425104	test.appdirect.com	1849389	NULL	NULL
67898	52.18.228.10/32	12425104	test.appdirect.com	1849389	NULL	NULL
67899	35.205.145.5/32	12425104	test.appdirect.com	1849389	NULL	NULL
67900	54.68.28.130/32	12425104	test.appdirect.com	1849389	NULL	NULL
67901	13.55.4.222/32	12425104	test.appdirect.com	1849389	NULL	NULL
67902	66.192.5.108/30	12425104	test.appdirect.com	1849389	NULL	NULL
67903	209.198.197.4/32	12425104	test.appdirect.com	1849389	NULL	NULL
67904	180.243.240.92/32	12425104	test.appdirect.com	1849389	NULL	NULL
67905	192.157.28.60/32	12425104	test.appdirect.com	1849389	NULL	NULL
67906	125.161.144.0/21	12425104	test.appdirect.com	1849389	NULL	NULL
67907	217.20.190.76/30	12425104	test.appdirect.com	1849389	NULL	NULL
67908	77.224.231.128/32	12425104	test.appdirect.com	1849389	NULL	NULL
67909	117.240.88.97/32	12425104	test.appdirect.com	1849389	NULL	NULL
67910	202.126.163.128/25	12425104	test.appdirect.com	1849389	NULL	NULL
67911	122.50.127.50/32	12425104	test.appdirect.com	1849389	NULL	NULL
67912	54.80.210.245/32	12425104	test.appdirect.com	1849389	NULL	NULL
67913	52.43.77.11/32	12425104	test.appdirect.com	1849389	NULL	NULL
67914	142.169.202.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67915	34.198.132.11/32	12425104	test.appdirect.com	1849389	NULL	NULL
67916	82.223.0.209/32	12425104	test.appdirect.com	1849389	NULL	NULL
67917	54.84.188.199/32	12425104	test.appdirect.com	1849389	NULL	NULL
67918	34.198.101.118/32	12425104	test.appdirect.com	1849389	NULL	NULL
67919	194.137.75.0/27	12425104	test.appdirect.com	1849389	NULL	NULL
67920	52.59.46.112/32	12425104	test.appdirect.com	1849389	NULL	NULL
67921	105.28.117.248/29	12425104	test.appdirect.com	1849389	NULL	NULL
67922	144.160.219.223/32	12425104	test.appdirect.com	1849389	NULL	NULL
67923	80.28.237.36/32	12425104	test.appdirect.com	1849389	NULL	NULL
67924	35.198.99.90/32	12425104	test.appdirect.com	1849389	NULL	NULL
67925	35.172.245.139/32	12425104	test.appdirect.com	1849389	NULL	NULL
67926	213.98.92.145/32	12425104	test.appdirect.com	1849389	NULL	NULL
67927	62.99.76.60/32	12425104	test.appdirect.com	1849389	NULL	NULL
67928	52.41.92.90/32	12425104	test.appdirect.com	1849389	NULL	NULL
67929	52.40.103.236/32	12425104	test.appdirect.com	1849389	NULL	NULL
67930	97.65.197.84/30	12425104	test.appdirect.com	1849389	NULL	NULL
67931	47.73.88.21/32	12425104	test.appdirect.com	1849389	NULL	NULL
67932	208.88.164.0/22	12425104	test.appdirect.com	1849389	NULL	NULL
67933	4.59.43.104/29	12425104	test.appdirect.com	1849389	NULL	NULL
67934	52.89.43.70/32	12425104	test.appdirect.com	1849389	NULL	NULL
67935	76.14.98.240/29	12425104	test.appdirect.com	1849389	NULL	NULL
67936	54.187.228.111/32	12425104	test.appdirect.com	1849389	NULL	NULL
